"Instituto Nacional de Estadística y Geografía",
"",
"Principales índices (mensual)",
"Fecha de consulta: 24/06/2026 08:16:12",

"Título","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Principales índices, INPP mercancías excluyendo petróleo","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)"
"Cifra","","",""
"Fecha","865541","1380001","865546"
"Jun 2023","128.214000000000","122.967908526454","128.214000000000"
"Jul 2023","128.832000000000","122.908907487194","128.832000000000"
"Ago 2023","129.545000000000","123.222574392534","129.545000000000"
"Sep 2023","130.120000000000","123.437010257614","130.120000000000"
"Oct 2023","130.609000000000","124.325998681072","130.609000000000"
"Nov 2023","131.445000000000","124.232953250729","131.445000000000"
"Dic 2023","132.373000000000","123.964121008582","132.373000000000"
"Ene 2024","133.555000000000","124.598331149626","133.555000000000"
"Feb 2024","133.681000000000","124.717360152449","133.681000000000"
"Mar 2024","134.065000000000","125.035801262514","134.065000000000"
"Abr 2024","134.336000000000","125.906050941079","134.336000000000"
"May 2024","134.087000000000","126.550608397996","134.087000000000"
"Jun 2024","134.594000000000","128.579411399409","134.594000000000"
"Jul 2024","136.003000000000","129.140871308941","136.003000000000"
"Ago 2024","136.013000000000","129.740993571672","136.013000000000"
"Sep 2024","136.080000000000","130.767260415118","136.080000000000"
"Oct 2024","136.828000000000","131.184712335222","136.828000000000"
"Nov 2024","137.424000000000","132.633713353324","137.424000000000"
"Dic 2024","137.949000000000","133.104543161502","137.949000000000"
"Ene 2025","138.343000000000","134.247763275577","138.343000000000"
"Feb 2025","138.726000000000","135.021746323343","138.726000000000"
"Mar 2025","139.161000000000","135.176615342568","139.161000000000"
"Abr 2025","139.620000000000","135.590400087759","139.620000000000"
"May 2025","140.012000000000","135.584897031464","140.012000000000"
"Jun 2025","140.405000000000","134.917094845440","140.405000000000"
"Jul 2025","140.780000000000","134.113320603465","140.780000000000"
"Ago 2025","140.867000000000","133.883757027943","140.867000000000"
"Sep 2025","141.197000000000","134.019608115128","141.197000000000"
"Oct 2025","141.708000000000","134.522499317426","141.708000000000"
"Nov 2025","142.645000000000","135.210450371930","142.645000000000"
"Dic 2025","143.042000000000","135.510943859331","143.042000000000"
"Ene 2026","143.588000000000","136.383348513559","143.588000000000"
"Feb 2026","144.307000000000","135.914758504097","144.307000000000"
"Mar 2026","145.544000000000","137.581281015396","145.544000000000"
"Abr 2026","145.831000000000","137.497902814477","145.831000000000"
"May 2026","145.527000000000","137.622604310972","145.527000000000"
